question,answer
诸葛亮的性格特点是什么?,"诸葛亮治国治军的才能，济世爱民、谦虚谨慎，他是智慧的化身、忠贞的代表，并将其神化成了半人半神的超人形象
"
刘备的性格特点是什么？,"一是亲贤爱士，善待人才；二是生性善良，受民如子；三是待人宽厚，不求全责备。
"
关羽的性格特点是什么？,"义薄云天、武功盖世、蔑视权贵，目中无人、又是不忍欺凌弱小的真英雄。集忠于君，善与友，正义，武力，智慧，勇气，毅力，大志于一身。
"
曹操的性格特点是什么？,"陈寿认为曹操在三国历史上“明略最优”，“揽申、商之法术，该韩、白之奇策，官方授材，各因其器，矫情任算，不念旧恶”。曹操御军三十余年，但手不释卷，登高必赋，长于诗文、草书、围棋。生活节俭，不好华服。与人议论，谈笑风生。“勋劳宜赏，不吝千金；无功望施，分毫不与”。他是中国历史上第一流的政治家、军事家、文学家。但是，在《三国演义》中，曹操性格品德中这些好的方面被忽略了，而对他残忍、奸诈的一面又夸大了。因此，罗贯中笔下的曹操是奸诈、残忍、任性、多疑的反面人物典型。
"
周瑜的性格特点是什么？,"在《三国演义》中，周瑜成了诸葛亮的垫底人物。写周瑜，是为了抬高诸葛亮。因此，《三国演义》中的周瑜气量狭小，智谋也总是逊诸葛亮一筹，根本不像苏轼所歌颂的周瑜“雄姿英发”，是“千古风流人物”。 
"
赵云的性格特点是什么？,"骁勇善战，忠义侍主，处事谨慎
"
司马懿的性格特点是什么？,用兵谨慎，长于谋略，阴险奸诈孙权：智勇兼备，知人善任
诸葛亮主要的故事情节有哪些？,"火烧博望  火烧新野   赤壁大战   三气周瑜   夺取益州   八阵图困陆逊 七擒孟获  七擒七纵   六出祁     智取三郡   骂死王朗   雪夜破羌兵 
"
刘备主要的故事情节有哪些？,"讨伐黄巾，救董卓被辱，官封平原县；桃园结义；三顾茅庐得诸葛；讨伐黄巾；联马腾等密议除操，事败前，借兵讨贼，得豫州，由称刘豫州；觐见汉帝；得皇叔之名，于是有曹操煮酒论英雄；汉灭曹兴，刘备称帝；陆逊火烧连营七百里，刘备身死白帝城
"
关羽主要的故事情节有哪些？,"温酒斩华雄   挂印封金   千里走单骑   过五关斩六将    华容道释曹，水淹七军     单刀赴会   刮骨疗伤     败走麦城        温酒斩华雄
"
曹操主要的故事情节有哪些？,"误杀吕伯奢一家；投奔十八路诸侯；挟天子入许昌，自此挟天子以令诸侯；官渡之战大胜袁绍；赤壁大败，败走华容道；被马超追得割须弃袍；青梅煮酒论英雄；刺杀董卓；光脚迎许攸
"
周瑜主要的故事情节有哪些？,"三气周瑜  草船借箭  赤壁之战
"
马超主要的故事情节有哪些？,"袭击曹操；割须弃袍
"
夏侯惇主要的故事情节有哪些？,随曹操征讨黄巾军；领兵救援刘备，​攻击吕布；与高顺交战
描述一下张飞的形象,"玄德回视其人：身长八尺，豹头环眼，燕颔虎须，声若巨雷，势如奔马。
"
描述一下关羽的形象,"玄德看其人：身长九尺，髯长二尺；面如重枣，唇若凃脂；丹凤眼，卧蚕眉；相貌堂堂，威风凛凛。
"
描述一下曹操的形象,"为首闪出一将：身长七尺，细眼长髯；官拜骑都尉。
"
描述一下吕布的形象,"时李儒见丁原背后一人，生得器宇轩昂，威风凛凛，手执方天画戟，怒目而视。两阵对圆，只见吕布顶束发冠，披百花战袍，擐唐猊铠甲，系狮蛮宝带，纵马挺戟，随丁建阳出到阵前。
"
描述一下马超的形象,"只见一位少年将军，面如冠玉，眼若流星，虎体猿臂，彪腹狼腰；手执长枪，坐骑骏马，从阵中飞出。
"
描述一下诸葛亮的形象,"玄德见孔明身长八尺，面如冠玉，头戴纶巾，身披鹤氅，飘飘然有神仙之概。
"
描述一下赵云的形象,"忽见草坡左侧转出一个少年将军，飞马挺枪，直取文丑。公孙瓒扒上坡去，看那少年：生得身长八尺，浓眉大眼，阔面重颐，威风凛凛，与文丑大战五六十合，胜负未分。
"
我国古典文学名著《三国演义》中塑造了一个过五关斩六将、千里走单骑的英雄形象，这个英雄是谁？,"关羽  
"
《三国演义》中 “桃园三结义”是指哪三个人?他们各自的性格怎样? ,"刘备(忠厚善良、礼贤下士)、关羽（忠肝义胆、一身正气）、张飞（勇猛粗暴、嫉恶如仇）。 
"
"《三国演义》中哪两位人物青梅煮酒论英雄,他们各自的内心是怎样? ","曹操：故意试探刘备，看他是否能成大业，胸怀大志。 刘备：生怕自己被曹操看出破绽，竭力掩盖，内心恐慌。 
"
 “群英会中计”是哪部名著中的情节？谁中谁的计？两个人的性格怎样？ ,"设计者：周瑜；善使谋略、聪明机智。中计者：蒋干；自作聪明，败事有余。 
"
七擒孟获是那部古典名著的情节？是谁擒了猛获？为什么要七擒？ ,"是《三国演义》中的故事情节，是诸葛亮擒的孟获。共七擒七纵，是谈诸葛亮听从马谡的建议，征服心理，以求南方的长治久安。 
"
“巧授连环计”是哪部名著中的情节？”涉及哪两个人物？为什么要连环计？ ,"《三国演义》曹操、庞统，庞统献连环计表面上是为解决曹军不习水战晕船的难题，实际上是为周瑜火烧战船作准备。 
"
《三国演义》中“过五关斩六将”的是谁？斩了谁手下的六将？为何要过关斩将？ ,"关羽，斩了曹操手下的六将，因为这六人阻挡他寻找大哥刘备的去路。 
"
“草船借箭”是谁向谁借箭？这个“借”在文中具体指什么？ ,"答：周瑜设计陷害诸葛亮,诸葛亮将计就计趁大雾天扎草人攻打曹营，借来十万支箭，完成任务。 
"
你怎样评价《三国演义》中 “刘备三顾茅庐”? ,"答：表现了求贤若渴，礼贤下士的迫切心情和胸怀大志，不拘小节的宽广胸怀。 
"
《三国演义》中 “赔人夫人又折兵”的是谁? ,"周瑜
"
“鞠躬尽瘁，死而后已”的又是谁? ,"诸葛亮 。 
"
《三国演义》中，你最欢地的情节是什么?为什么? ,"关羽过五关斩六将。从中可见关羽对刘备的一片忠心。 
"
《三国演义》中 “三英战吕布”的 “三英”指哪三个人? ,"刘备；关羽 ；张飞。 
"
《三国演义》中有这样两段话： “譬犹驽马并麒麟，寒鸦配鸾凤耳”，无异周得吕望，汉得张良”，说此话者是谁？,"徐庶，被赞誉的人是诸葛亮。 
"
“丹凤眼，卧蚕眉，面如重枣，青龙偃月刀。”这一肖像描写写的是哪部小说中的哪个人物? ,"关羽。 
"
曹操说：“宁教我负天下，休教天下人负我”你怎么看待他的这种观点？ ,"反对这观点：因为这是一种以自我为中心的极端自私的人生观；或赞成这观点：要成大业就要在关键时刻忍痛割爱，不能有妇人这仁。 
"
杜牧《赤壁》诗中 “东风不与周郎便，铜雀春深锁二乔”的句子写的是哪一场战役?涉及到哪两个主要人物? ,"赤壁之战；曹操、周瑜。 
"
试举出《三国演义》中两例以少胜多的战役： 官渡之战 、赤壁之战,"作战的双方是：    曹操战袁绍 ，刘备、孙权战曹操    。
"
桃园三结义后，刘、关、张既与黄巾军作战的首领分别是？,"“天公将军”张角和“地公将军”张宝 。        
"
试举出《三国演义》中勇猛无比的人物？,"张飞、许褚、典韦。
"
建安时文坛上的“三曹”分别指？,"曹操、曹丕、曹植。
"
曹操曰“昔日当阳长坂英雄尚在！”这位英雄是？,"赵云。
"
赤壁之战曹操败于谁？,"周瑜。
"
“卧龙凤雏”分别是指?,"诸葛亮和庞统是《三国演义》中的人物，与他们各自有关的情节是：诸葛亮舌战群儒，庞统巧施连环计。
"
《三国演义》中教人制造木牛流马来搬运粮食的人是?,"诸葛亮。
"
诸葛亮最终牺牲的地点是？,"五丈原。
"
诸葛亮临终时将自己的用兵秘法都告诉给了谁？,"姜维。
"
请结合《三国演义》说出诸葛亮与周瑜联手指挥的一场著名的以少胜多的战役是？,"赤壁之战。
"
诸葛亮挥泪斩马谡的原因是?,"失街亭一事。
"
“太史慈酣斗小霸王”中的小霸王是?,"孙策。
"
“华容道义释曹操”的人是?,"关羽。
"
死于落凤坡的汉军著名的谋士是?,"庞统（凤雏）
"
请简述“桃园三结义”的故事。,"东汉末年，十常侍为奸，黄巾起义爆发，再加上连年灾荒，人民生活非常困苦。为抵抗黄巾起义，幽州太守刘焉出榜招兵，当时刘、关、张三人都去看了榜文。三人萍水相逢，但都有为国出力之心，所以一见如故，选定张飞庄后一桃园结义。三人焚香礼拜，对天宣誓结为异姓兄弟。
"
